epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.421,0.98292,2.45733,1.19589,0.88714,0.68808,0.7793,0.62912,0.86443,1.3691,1.05607,0.0557258,0.00491935,0.00491935
2,830.057,0.82096,1.14519,1.0584,0.84113,0.70557,0.74318,0.56202,1.01247,1.48827,1.13574,0.0105294,0.00972295,0.00972295
3,1235.12,0.86453,1.07298,1.06371,0.87132,0.64205,0.74868,0.59737,1.14864,1.46872,1.29164,0.009604,0.009604,0.009604
4,1614.56,0.7833,0.88061,1.01179,0.7582,0.6543,0.70629,0.52295,1.22921,1.48989,1.2857,0.009406,0.009406,0.009406
5,2045.88,0.87416,0.90949,1.08333,0.87696,0.6707,0.77271,0.59522,1.16289,1.28345,1.3052,0.009208,0.009208,0.009208
6,2407.58,0.79459,0.78911,1.01916,0.9304,0.74943,0.85379,0.71019,0.81065,0.77104,0.9817,0.00901,0.00901,0.00901
7,2889.61,0.77727,0.73451,1.01208,0.89725,0.79087,0.83839,0.66032,0.98658,1.02518,1.14752,0.008812,0.008812,0.008812
8,3271.5,0.789,0.715,1.00312,0.94401,0.79364,0.86739,0.71682,0.77007,0.8303,1.01026,0.008614,0.008614,0.008614
9,3765.03,0.73241,0.6599,0.97015,0.91277,0.81514,0.88875,0.74317,0.73287,0.76023,0.94121,0.008416,0.008416,0.008416
10,4140.22,0.71729,0.65673,0.97808,0.88887,0.76125,0.80288,0.6724,0.92423,0.8833,1.1058,0.008218,0.008218,0.008218
11,4624.85,0.70391,0.61307,0.96514,0.93646,0.82769,0.87282,0.73847,0.72914,0.72934,0.95692,0.00802,0.00802,0.00802
12,4995.94,0.69269,0.59221,0.96149,0.89543,0.81591,0.87261,0.72495,0.74369,0.72081,0.96673,0.007822,0.007822,0.007822
13,5480.07,0.69668,0.58132,0.96686,0.94925,0.83543,0.89895,0.76666,0.60929,0.62746,0.90798,0.007624,0.007624,0.007624
14,5864.16,0.65709,0.5426,0.95383,0.95136,0.81889,0.88163,0.75111,0.82354,0.80151,1.07213,0.007426,0.007426,0.007426
15,6349.15,0.66917,0.55474,0.95279,0.95337,0.80596,0.87269,0.74783,0.70912,0.74214,0.93963,0.007228,0.007228,0.007228
16,6729.88,0.63377,0.53481,0.94371,0.92371,0.82994,0.88664,0.75377,0.76748,0.75344,0.97216,0.00703,0.00703,0.00703
17,7160.29,0.62737,0.52433,0.9289,0.96511,0.85787,0.89832,0.78729,0.64192,0.604,0.91727,0.006832,0.006832,0.006832
18,7532.6,0.62489,0.51892,0.93267,0.93132,0.84147,0.90944,0.8028,0.5885,0.61429,0.89565,0.006634,0.006634,0.006634
19,8009.52,0.60723,0.49937,0.92479,0.97433,0.80316,0.88408,0.7574,0.71363,0.67725,0.94283,0.006436,0.006436,0.006436
20,8383.92,0.63519,0.5063,0.94179,0.93457,0.81096,0.87642,0.75816,0.95251,0.71857,1.14147,0.006238,0.006238,0.006238
21,8868.53,0.5935,0.48214,0.9217,0.93463,0.85176,0.91723,0.78398,0.7268,0.70382,0.9794,0.00604,0.00604,0.00604
22,9233.28,0.58951,0.45954,0.92724,0.94792,0.88302,0.92965,0.8138,0.59493,0.52055,0.90115,0.005842,0.005842,0.005842
23,9723.75,0.56166,0.44782,0.90161,0.96073,0.85588,0.9234,0.80765,0.59887,0.53009,0.91624,0.005644,0.005644,0.005644
24,10091.3,0.57241,0.45649,0.91153,0.95568,0.83814,0.89206,0.78312,0.73475,0.89534,0.97802,0.005446,0.005446,0.005446
25,10581.7,0.57696,0.45192,0.9281,0.97993,0.81883,0.89878,0.783,0.6938,0.61287,0.94999,0.005248,0.005248,0.005248
26,10946.7,0.53199,0.42564,0.88996,0.97955,0.86765,0.9224,0.82463,0.55719,0.53011,0.88909,0.00505,0.00505,0.00505
27,11434.7,0.54102,0.41816,0.89821,0.94532,0.88684,0.91451,0.81151,0.5677,0.54431,0.89561,0.004852,0.004852,0.004852
28,11802.7,0.53204,0.41552,0.90571,0.95391,0.89606,0.92704,0.84049,0.51646,0.45574,0.87471,0.004654,0.004654,0.004654
29,12289.8,0.50623,0.39453,0.88742,0.95524,0.88136,0.92322,0.83771,0.4832,0.5228,0.86836,0.004456,0.004456,0.004456
30,12663.3,0.51273,0.39493,0.88492,0.94903,0.8843,0.92138,0.83108,0.52103,0.51832,0.882,0.004258,0.004258,0.004258
31,13145.8,0.51185,0.38846,0.89666,0.95009,0.87536,0.92607,0.83571,0.55824,0.50327,0.89798,0.00406,0.00406,0.00406
